verbe,cat_base
potabiliser,adj
fertiliser,adj
immuniser,adj
actualiser,adj
vulnérabiliser,adj
sociabiliser,adj
rentabiliser,adj
initialiser,adj
solvabiliser,adj
aiguiser,adj
mentaliser,adj
grégariser,adj
hétérogénéiser,adj
trivialiser,adj
fiabiliser,adj
fragiliser,adj
virtualiser,adj
viabiliser,adj
mutualiser,adj
subtiliser,adj
banaliser,adj
tranquilliser,adj
ruraliser,adj
homogénéiser,adj
méridionaliser,adj
médicaliser,adj
orthogonaliser,adj
antérioriser,adj
fataliser,adj
compatibiliser,adj
puériliser,adj
diaphanéiser,adj
monotoniser,adj
respectabiliser,adj
discrétiser,adj
perméabiliser,adj
pérenniser,adj
futiliser,adj
stériliser,adj
coloriser,noun
chloroformiser,noun
césariser,noun
curariser,noun
routiniser,noun
cartelliser,noun
polliniser,noun
pasteuriser,noun
palettiser,noun
labéliser,noun
tunnelliser,noun
silicatiser,noun
poldériser,noun
odoriser,noun
monseigneuriser,noun
ronsardiser,noun
courtiser,noun
sponsoriser,noun
baroniser,noun
dollariser,noun
trachéotomiser,noun
tuberculiser,noun
néphrectomiser,noun
anathématiser,noun
arboriser,noun
filialiser,noun
cataboliser,noun
chaptaliser,noun
minotauriser,noun
bituminiser,noun
champagniser,noun
merceriser,noun
cicéroniser,noun
modéliser,noun
madériser,noun
cathétériser,noun
pactiser,noun
inventoriser,noun
néantiser,noun
herboriser,noun
macadamiser,noun
vedettiser,noun
panthéoniser,noun
favoriser,noun
conteneuriser,noun
caporaliser,noun
titriser,noun
vaporiser,noun
aluminiser,noun
lobotomiser,noun
journaliser,noun
gadgétiser,noun
stariser,noun
galliciser,noun
canaliser,noun
septembriser,noun
verduniser,noun
agoniser,noun
fonctionnariser,noun
cocaïniser,noun
scannériser,noun
charivariser,noun
éthériser,noun
maratiser,noun
droitiser,noun
avaliser,noun
ténoriser,noun
gauchiser,noun
pétrarquiser,noun
valoriser,noun
caraméliser,noun
labelliser,noun
révolvériser,noun
philippiser,noun
javelliser,noun
scandaliser,noun
fructidoriser,noun
cautériser,noun
terroriser,noun
sanctuariser,noun
débalkaniser,prefix
débanaliser,prefix
débaptiser,prefix
débrutaliser,prefix
débudgétiser,prefix
débureaucratiser,prefix
décanoniser,prefix
décapitaliser,prefix
décarboniser,prefix
décartelliser,prefix
décatholiciser,prefix
décentraliser,prefix
déchristianiser,prefix
déciviliser,prefix
décléricaliser,prefix
décollectiviser,prefix
décoloniser,prefix
décommunautariser,prefix
décommuniser,prefix
déconfessionnaliser,prefix
déconstitutionnaliser,prefix
décontextualiser,prefix
décrédibiliser,prefix
décriminaliser,prefix
décristalliser,prefix
déculpabiliser,prefix
dédiaboliser,prefix
dédiviniser,prefix
dédogmatiser,prefix
dédramatiser,prefix
défanatiser,prefix
défavoriser,prefix
défédéraliser,prefix
déféminiser,prefix
défiscaliser,prefix
défocaliser,prefix
défonctionnariser,prefix
déformaliser,prefix
défranchiser,prefix
défranciser,prefix
défriser,prefix
dégermaniser,prefix
dégriser,prefix
déhiérarchiser,prefix
déjudiciariser,prefix
délatiniser,prefix
délégaliser,prefix
délégitimiser,prefix
délinéariser,prefix
délocaliser,prefix
démagnétiser,prefix
démarchandiser,prefix
démarginaliser,prefix
démarxiser,prefix
démasculiniser,prefix
dématérialiser,prefix
démédicaliser,prefix
démétaphoriser,prefix
démilitariser,prefix
déminéraliser,prefix
démobiliser,prefix
démonarchiser,prefix
démonétiser,prefix
démoraliser,prefix
dénasaliser,prefix
dénationaliser,prefix
dénaturaliser,prefix
dénormaliser,prefix
dénucléariser,prefix
déodoriser,prefix
dépaganiser,prefix
déparisianiser,prefix
dépénaliser,prefix
dépersonnaliser,prefix
dépoétiser,prefix
dépolariser,prefix
dépolitiser,prefix
dépolymériser,prefix
dépopulariser,prefix
dépragmatiser,prefix
dépressuriser,prefix
dépriser,prefix
déprivatiser,prefix
déprolétariser,prefix
déprovincialiser,prefix
déprussianiser,prefix
dépsychiatriser,prefix
dérationaliser,prefix
déréaliser,prefix
dérégionaliser,prefix
déresponsabiliser,prefix
déritualiser,prefix
déromaniser,prefix
déruraliser,prefix
désabsolutiser,prefix
désacraliser,prefix
désalcooliser,prefix
désaliniser,prefix
désaméricaniser,prefix
désangliciser,prefix
désanimaliser,prefix
désarabiser,prefix
désaristocratiser,prefix
désatomiser,prefix
désautoriser,prefix
déscolariser,prefix
désectoriser,prefix
désécuriser,prefix
désélectriser,prefix
désémantiser,prefix
désenliser,prefix
désensibiliser,prefix
désérotiser,prefix
désétatiser,prefix
déseuropéaniser,prefix
désexualiser,prefix
désharmoniser,prefix
déshelléniser,prefix
déshistoriciser,prefix
désidéaliser,prefix
désidéologiser,prefix
désindividualiser,prefix
désindustrialiser,prefix
désinstitutionnaliser,prefix
désinsulariser,prefix
désintellectualiser,prefix
désinternationaliser,prefix
désioniser,prefix
désislamiser,prefix
désoccidentaliser,prefix
désocialiser,prefix
désodoriser,prefix
désolidariser,prefix
désorganiser,prefix
désoviétiser,prefix
déspécialiser,prefix
déspiritualiser,prefix
déstabiliser,prefix
déstaliniser,prefix
déstigmatiser,prefix
désubjectiviser,prefix
désurbaniser,prefix
désymboliser,prefix
désynchroniser,prefix
désyndicaliser,prefix
déthéâtraliser,prefix
déthésauriser,prefix
détotaliser,prefix
détribaliser,prefix
dévaloriser,prefix
déviriliser,prefix
dévitaliser,prefix
dévulgariser,prefix
réactualiser,prefix
réafricaniser,prefix
réautoriser,prefix
rebaptiser,prefix
rebriser,prefix
recanaliser,prefix
recapitaliser,prefix
recaractériser,prefix
recatégoriser,prefix
recatholiciser,prefix
recentraliser,prefix
rechristianiser,prefix
reciviliser,prefix
recoloniser,prefix
reconceptualiser,prefix
recontextualiser,prefix
recrédibiliser,prefix
recristalliser,prefix
redémocratiser,prefix
rediviniser,prefix
rediviser,prefix
redynamiser,prefix
réévangéliser,prefix
refamiliariser,prefix
refertiliser,prefix
refinaliser,prefix
refocaliser,prefix
refonctionnaliser,prefix
reformaliser,prefix
refranciser,prefix
refriser,prefix
regermaniser,prefix
réharmoniser,prefix
réhospitaliser,prefix
réinciser,prefix
réindividualiser,prefix
réindustrialiser,prefix
réinitialiser,prefix
réinstitutionnaliser,prefix
réintérioriser,prefix
réinternaliser,prefix
réintroniser,prefix
réislamiser,prefix
relatiniser,prefix
relocaliser,prefix
remagnétiser,prefix
remarginaliser,prefix
rematérialiser,prefix
remémoriser,prefix
remilitariser,prefix
reminéraliser,prefix
remiser,prefix
remobiliser,prefix
remonétiser,prefix
remoraliser,prefix
remythologiser,prefix
renationaliser,prefix
renaturaliser,prefix
renormaliser,prefix
réoptimiser,prefix
réorganiser,prefix
reperméabiliser,prefix
repersonnaliser,prefix
repoétiser,prefix
repolariser,prefix
repolitiser,prefix
repopulariser,prefix
repréciser,prefix
reprivatiser,prefix
reproblématiser,prefix
repuiser,prefix
rescolariser,prefix
resémantiser,prefix
resensibiliser,prefix
resexualiser,prefix
resocialiser,prefix
resolidariser,prefix
respiritualiser,prefix
restabiliser,prefix
restériliser,prefix
resymboliser,prefix
resynchroniser,prefix
resynthétiser,prefix
reterritorialiser,prefix
rethéâtraliser,prefix
retotaliser,prefix
retribaliser,prefix
réurbaniser,prefix
réutiliser,prefix
revaloriser,prefix
revaporiser,prefix
revasculariser,prefix
revégétaliser,prefix
reviriliser,prefix
reviser,prefix
revisualiser,prefix
revitaliser,prefix
aniser,simplex
aviser,simplex
baliser,simplex
briser,simplex
chemiser,simplex
deviser,simplex
diviser,simplex
franchiser,simplex
friser,simplex
gargariser,simplex
griser,simplex
improviser,simplex
inciser,simplex
iriser,simplex
maîtriser,simplex
marchandiser,simplex
mépriser,simplex
merchandiser,simplex
miser,simplex
piser,simplex
priser,simplex
puiser,simplex
riser,simplex
tamiser,simplex
téléviser,simplex
valiser,simplex
viser,simplex
