rid,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r47,anonymat,l100313,anonyme,Nm,Nm,suf,Xat,NA,X,simple,des2as
r366,antipapat,l101800,antipape,Nm,Nm,suf,Xat,NA,X,simple,des2as
r450,antiquariat,l101970,antiquaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r593,apatridat,l102696,apatride,Nm,Nm,suf,Xat,NA,X,simple,des2as
r647,apostolat,l103700,apôtre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r650,apothicairat,l103176,apothicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r652,apothicariat,l103176,apothicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r676,apparitorat,l103259,appariteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r677,apparitoriat,l103259,appariteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r715,apprentissariat,l103428,apprenti,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r805,arbitrariat,l104131,arbitre,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r806,arbitrat,l104131,arbitre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r810,arbitrorat,l104131,arbitre,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r839,archicapellanat,l104434,archichapelain,Nm,Nm,suf,Xat,NA,X,simple,des2as
r840,archidiaconat,l104446,archidiacre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r841,archiducat,l104450,archiduc,Nm,Nm,suf,Xat,NA,X,simple,des2as
r842,archimandritat,l104486,archimandrite,Nm,Nm,suf,Xat,NA,X,simple,des2as
r843,archipresbytérat,l104512,archiprêtre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r844,archiprésulat,l104399,archevêque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r846,architectorat,l104519,architecte,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r851,archivariat,l104549,archivaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r852,archivariat,l104554,archives,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r853,archivat,l104554,archives,Nm,Nf,suf,Xat,NA,X,simple,des2as
r860,archiépiscopat,l104399,archevêque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r861,archontat,l104572,archonte,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1056,artisanat,l106436,artisan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1057,artistanat,l106453,artiste,Nm,Nm,suf,Xanat,NA,X,simple,des2as
r1058,artisticat,l106453,artiste,Nm,Nm,suf,Xicat,NA,X,motiv-sem,des2as
r1102,asiarcat,l106937,asiarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1103,asiarchat,l106937,asiarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1132,aspiranat,l107134,aspirant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1133,aspirantat,l107134,aspirant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1148,assassinat,l107258,assassiner,Nm,V,conv,X,NA,X,simple,des2as
r1176,assesseurat,l107329,assesseur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1177,assessorat,l107329,assesseur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1178,assessoriat,l107329,assesseur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r1183,assignat,l107384,assigner,Nm,V,conv,X,NA,X,simple,des2as
r1201,assistanat,l107430,assistant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1204,assistantat,l107430,assistant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1205,assistariat,l107435,assister,Nm,V,suf,Xariat,NA,X,complexe,des2as
r1299,atamanat,l107948,ataman,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1361,attentat,l108404,attenter,Nm,V,conv,X,NA,X,simple,des2as
r1430,auctorat,l109910,auteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1431,auctoriat,l109910,auteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r1451,auditorat,l109120,auditeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1452,auditoriat,l109120,auditeur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r1469,augurat,l109265,augure,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1471,augustat,l109273,auguste,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1502,auteurat,l109910,auteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1568,autorat,l109910,auteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1570,autoriat,l109910,auteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1575,autoritariat,l111451,autoritaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r1591,auxiliairat,l111781,auxiliaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1595,auxiliarat,l111781,auxiliaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1596,auxiliariat,l111781,auxiliaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1621,avatarat,l112083,avatar,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1660,avocariat,l112448,avocat,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r1666,avocatat,l112448,avocat,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1682,avunculat,l274132,oncle,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1742,bacchantat,l113477,bacchante,Nm,Nf,suf,Xat,NA,X,simple,des2as
r1748,bacheliérat,l113515,bachelier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1749,bachellerat,l113515,bachelier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1750,bachelorat,l113515,bachelier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1814,ATERat,l382819,ATER,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1956,bambinat,l115078,bambin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1976,banat,l115114,ban,Nm,Nm,suf,Xat,NA,X,simple,des2as
r2103,barbouzat,l115950,barbouze,Nm,Nm,suf,Xat,NA,X,simple,des2as
r2133,baronnat,l116361,baron,Nm,Nm,suf,Xat,NA,X,simple,des2as
r2215,bat,l117620,battre,Nm,V,conv,X,conv,X,simple,NA
r2281,bayadérat,l117967,bayadère,Nm,Nf,suf,Xat,NA,X,simple,des2as
r2297,beau-pérariat,l382833,beau-père +,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r2323,benjaminat,l119753,benjamin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r2382,beylicat,l121213,bey,Nm,Nm,suf,Xicat,NA,X,simple,des2as
r2383,beylikat,l121213,bey,Nm,Nm,suf,Xikat,NA,X,simple,des2as
r2384,bi-hebdomadariat,l382836,bi-hebdomadaire +,Nm,Adj,suf,Xat,NA,X,simple,des2as
r2410,bibliothécariat,l121513,bibliothécaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r2483,bimestriat,l122440,bimestre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r2665,blogariat,l124399,blog,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r2666,blogorat,l124412,blogueur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r2715,bobonnat,l10467,Bobonne,Nm,Npx,suf,Xat,NA,X,simple,des2as
r2716,bobotariat,l124766,bobo,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r2745,bolchevicat,l125402,bolchevik,Nm,Nm,suf,Xat,NA,X,simple,des2as
r2801,bonzariat,l126158,bonze,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r2803,bonzicat,l126158,bonze,Nm,Nm,suf,Xicat,NA,X,simple,des2as
r2829,borgnat,l126367,borgne,Nm,Adj,suf,Xat,NA,X,simple,des2as
r2831,borgniat,l126367,borgne,Nm,Adj,suf,Xat,NA,X,simple,des2as
r2844,bossariat,l126686,bosser,Nm,V,suf,Xariat,NA,X,simple,des2as
r2948,bouffonnariat,l127271,bouffon,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r2949,bouffonnat,l127271,bouffon,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3010,bouleutat,l382846,bouleute,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3064,bourgeoisat,l128143,bourgeois,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3069,bourgmestrat,l128190,bourgmestre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3070,bourgmestriat,l128190,bourgmestre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3202,brahmanat,l129438,brahmane,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3492,broyat,l131786,broyer,Nm,V,conv,X,NA,X,simple,des2as
r3601,burgravat,l133395,burgrave,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3602,burgraviat,l133395,burgrave,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3698,bâtonnariat,l134139,bâtonnier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3706,bébétariat,l134211,bébé,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r3737,béguinat,l134448,béguine,Nm,Nf,suf,Xat,NA,X,simple,des2as
r3760,bénéficiariat,l134733,bénéficiaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3764,bénévolat,l134759,bénévole,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3805,bûcheronnat,l135153,bûcheron,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3870,cacicat,l135660,cacique,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3871,caciquat,l135660,cacique,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3897,cadiat,l135820,cadi,Nm,Nm,suf,Xat,NA,X,simple,des2as
r3902,cadrariat,l135909,cadre,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r4004,calfat,l136738,calfater,Nm,V,conv,X,conv,X,simple,NA
r4020,califat,l136802,calife,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4022,califiat,l136802,calife,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4089,camerlingat,l137508,camerlingue,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4090,camerlinguat,l137508,camerlingue,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4126,caméristat,l138016,camériste,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4153,cancellariat,l145704,chancelier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4159,candidariat,l138277,candidat,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r4195,canonicat,l145853,chanoine,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4228,cantorat,l138775,cantor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4238,capacitariat,l138893,capacitaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4248,capitainat,l139146,capitaine,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4250,capitalat,l139150,capital,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4259,capitanat,l139146,capitaine,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4260,capitat,l147991,chef,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4263,capitoulat,l139193,capitoul,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4278,caporalat,l139253,caporal,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4334,carabinat,l139532,carabin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4393,cardinalat,l139962,cardinal,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4556,castellanat,l141630,castellan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4560,castorat,l141987,castor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4563,castrat,l142013,castrer,Nm,V,conv,X,NA,X,simple,des2as
r4597,catholicat,l142377,catholicos,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4599,catholicosat,l142377,catholicos,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4600,catholicossat,l142377,catholicos,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4614,catéchistat,l142515,catéchiste,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4617,catéchumanat,l142524,catéchumène,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4618,catéchuménat,l142524,catéchumène,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4627,catépanat,l142557,catépan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4632,caudillat,l142655,caudillo,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4662,cavaliérat,l142933,cavalier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4673,caïdat,l143214,caïd,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4674,caïmacanat,l143220,caïmacan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4675,caïmanat,l143224,caïman,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4707,censorat,l143557,censeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4708,censoriat,l143557,censeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4717,centenariat,l143604,centenaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r4718,centenariat,l143606,centenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4743,centumvirat,l143776,centumvir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4745,centurionat,l143787,centurion,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4746,centurionnat,l143787,centurion,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4760,certificat,l144030,certifier,Nm,V,conv,X,NA,X,simple,des2as
r4837,chambellanat,l144974,chambellan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4864,championnat,l145482,champion,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4869,chancelariat,l145704,chancelier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4886,chanoinat,l145853,chanoine,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4926,chaperonnat,l146234,chaperon,Nm,Nm,suf,Xat,NA,X,simple,des2as
r4976,charlatanat,l146551,charlatan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5040,chat,l147318,chatter,Nm,V,conv,X,conv,X,simple,NA
r5081,chauffeurat,l147491,chauffeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5111,chefariat,l147991,chef,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r5112,cheffat,l147991,chef,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5113,chefforat,l147991,chef,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r5114,cheftainat,l147991,chef,Nm,Nm,suf,Xainat,NA,X,motiv-sem,des2as
r5115,cheftanat,l147991,chef,Nm,Nm,suf,Xanat,NA,X,motiv-sem,des2as
r5116,cheikat,l148032,cheik,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5117,cheikhat,l148034,cheikh,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5137,cherchorat,l148313,chercheur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5400,chérifat,l151068,chérif,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5401,chérifiat,l151068,chérif,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r5407,chérubinat,l151113,chérubin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5462,cinquantenariat,l151589,cinquantenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5545,citoyennat,l152100,citoyen,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5583,clandestinat,l152427,clandestin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5613,clarissimat,l152579,clarissime,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5645,clavariat,l152709,clavaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5706,clochariat,l153221,clochard,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r5758,cléricat,l152886,clerc,Nm,Nm,suf,Xicat,NA,X,simple,des2as
r5765,co-auctoriat,l153753,co-auteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r5766,co-auteurat,l153753,co-auteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5767,co-autorat,l153753,co-auteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5768,co-autoriat,l153753,co-auteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r5769,co-principat,l153829,co-prince,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5771,coachariat,l153871,coach,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r5779,coadjutorat,l153890,coadjuteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5780,coadjutoriat,l153890,coadjuteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5837,codirectorat,l154333,codirecteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5874,cognitariat,l154547,cognitaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5877,cognitorat,l339731,spécialiste,Nm,Nm,suf,Xat,NA,X,accidentel,des2as
r5916,collabotariat,l154894,collabo,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r5943,collectionariat,l154973,collectionneur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r5953,collectorat,l154965,collecteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5977,colocatariat,l155191,colocataire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5981,colonat,l155322,colon,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5982,colonellat,l155335,colonel,Nm,Nm,suf,Xat,NA,X,simple,des2as
r5987,colonélat,l155335,colonel,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6024,combat,l155601,combattre,Nm,V,conv,X,conv,X,simple,NA
r6028,combinat,l155639,combiner,Nm,V,conv,X,NA,X,simple,des2as
r6046,comitat,l156587,comte,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6047,commandanat,l155818,commandant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6056,commanditariat,l155829,commanditaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6058,commandorat,l155827,commandeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6074,commentatorat,l155888,commentateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6075,commentatoriat,l155888,commentateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6087,commissairat,l155949,commissaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6089,commissairiat,l155949,commissaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6090,commissariat,l155949,commissaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6093,commissionnairat,l155958,commissionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6095,commissionnariat,l155958,commissionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6099,commodorat,l155994,commodore,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6107,communautariat,l156023,communautaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r6144,compagnonat,l156136,compagnon,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6217,complémentariat,l156333,complémentaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r6237,compradorat,l156431,compradore,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6238,compradoriat,l156431,compradore,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6282,comtat,l156587,comte,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6283,comtorat,l156603,comtor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6284,comédianat,l156619,comédien,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6307,concentrationnariat,l156695,concentrationnaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r6331,concessionnariat,l156757,concessionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6335,conciergeat,l156829,concierge,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6349,concordat,l156893,concorder,Nm,V,conv,X,NA,X,simple,des2as
r6359,concubinat,l156944,concubin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6391,conductorat,l157123,conducteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6417,confessorat,l157190,confesseur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6489,conglomérat,l157454,conglomérer,Nm,V,conv,X,NA,X,simple,des2as
r6533,conjugat,l157614,conjoint,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6550,connariat,l157701,connard,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6564,connétablat,l157801,connétable,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6581,conseillorat,l157889,conseiller,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6600,conservatorat,l157907,conservateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6601,conservatoriat,l157907,conservateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6654,constat,l158069,constater,Nm,V,conv,X,conv,X,simple,NA
r6686,consulariat,l158158,consulaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6687,consulat,l158155,consul,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6688,consulorat,l158164,consulor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6689,consultanat,l158171,consultant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6787,contrat,l158453,contracter,Nm,V,conv,X,conv,X,simple,NA
r6810,contremaîtrariat,l159022,contremaître,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r6839,contributorat,l159142,contributeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6845,contrôleurat,l159209,contrôleur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6870,conviviat,l159345,convive,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6937,copinariat,l159491,copain,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r6938,copinat,l159491,copain,Nm,Nm,suf,Xat,NA,X,simple,des2as
r6949,copropriétariat,l382876,co-propriétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r7001,cornacat,l160354,cornac,Nm,Nm,suf,Xat,NA,X,simple,des2as
r7056,correctorat,l160719,correcteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r7057,correctoriat,l160719,correcteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r7086,corrégidorat,l160739,corregidor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r7087,corrégidoriat,l160842,corrégidor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r7088,corrélat,l160854,corréler,Nm,V,conv,X,NA,X,simple,des2as
r7094,corsariat,l160870,corsaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r7292,courtisanat,l162813,courtisan,Nm,Nm,suf,Xat,NA,X,simple,des2as
